Trait,Score Range,Description_vi,Description_en,Top_3_traits,top_traits_description_vi,top_traits_description_en,Highest_Trait,Lowest_Trait,Description_vi_fallback,Description_en_fallback
Caution,1.00-1.80,"Bạn rất thoải mái với việc đưa ra những quyết định nhanh chóng mà không cần suy xét quá nhiều. Bạn tin rằng tài chính không nên là một gánh nặng và không cần quá cẩn thận trong từng chi tiết nhỏ.","You approach financial decisions with confidence, rarely letting fear of risk hold you back. Your choices reflect your belief in your abilities and knowledge, allowing you to move forward with assurance.",Adventurous - Conservative - Convenience,,,Impulsive,Analytical,,
Caution,1.81-2.60,"Dù vẫn có sự linh hoạt trong các quyết định, bạn không ngại dừng lại một chút để cân nhắc trước khi bước đi. Bạn hiểu rằng đôi khi, việc dừng lại và suy nghĩ cũng có thể mang lại lợi ích lớn.","While you're not overly cautious, you take a moment to weigh your options before committing. You strike a healthy balance between being decisive and ensuring you’ve covered all your bases.",Adventurous - Conservative - Impulsive,,,Impulsive,Adventurous,,
Caution,2.61-3.40,"Bạn luôn biết cân nhắc giữa sự thận trọng và khả năng hành động nhanh. Bạn có xu hướng đánh giá các rủi ro trước khi thực hiện một quyết định tài chính, nhưng không để điều đó cản trở cơ hội.","You know when to slow down and when to push forward. Your financial decisions are grounded, and you carefully navigate risks without holding yourself back from potential rewards.",Adventurous - Convenience - Analytical,,,Impulsive,Convenience,,
Caution,3.41-4.20,"Bạn khá thận trọng trong các quyết định tài chính của mình. Những bước đi của bạn thường được tính toán kỹ lưỡng và bạn hiếm khi bị cuốn vào những rủi ro không cần thiết.","Caution is your guide in financial decisions. You prefer stability and are always mindful of potential risks, making thoughtful and deliberate choices that ensure your long-term security.",Adventurous - Convenience - Caution,,,Impulsive,Conservative,,
Caution,4.21-5.00,"Bạn rất cẩn trọng và luôn muốn đảm bảo rằng mọi thứ đều đúng chỗ trước khi thực hiện một quyết định tài chính. Đối với bạn, an toàn là trên hết, và không có gì quý giá hơn sự ổn định dài hạn.","You take a deeply measured approach in your financial life, always prioritizing safety and security. Risk is never part of your equation, and you value the peace of mind that comes with careful planning.",Adventurous - Convenience - Conservative,,,Impulsive,Caution,,
Conservative,1.00-1.80,"Bạn thích sự linh hoạt và không thích bị bó buộc trong các quy tắc hay khuôn mẫu cố định. Các quyết định tài chính của bạn thường thiên về thử nghiệm và sự đổi mới.","You're open to fresh ideas, unafraid to embrace change and take on new financial strategies. Tradition doesn’t limit you, as you’re always on the lookout for innovative solutions.",Adventurous - Convenience - Impulsive,,,Conservative,Impulsive,,
Conservative,1.81-2.60,"Bạn vẫn duy trì một chút quy tắc, nhưng cũng sẵn sàng thử sức với những phương án khác biệt. Bạn biết cách kết hợp giữa sự truyền thống và hiện đại trong quản lý tài chính.","You hold a balanced perspective, appreciating traditional financial methods but willing to explore new approaches when the time is right. You blend the best of both worlds.",Adventurous - Impulsive - Analytical,,,Conservative,Analytical,,
Conservative,2.61-3.40,"Bạn có xu hướng giữ vững những nguyên tắc tài chính cơ bản, nhưng không ngần ngại thay đổi nếu cảm thấy cần thiết. Sự cân bằng giữa bảo thủ và cởi mở giúp bạn có những lựa chọn tài chính an toàn mà vẫn linh hoạt.","You respect the tried-and-true while keeping an open mind to new possibilities. Your financial choices reflect a careful balance between innovation and preserving what works.",Adventurous - Impulsive - Caution,,,Conservative,Adventurous,,
Conservative,3.41-4.20,"Bạn luôn coi trọng việc duy trì những giá trị tài chính truyền thống và không muốn thử nghiệm những phương án mới quá rủi ro. Quyết định của bạn thường là lựa chọn an toàn và bền vững.","You're someone who prefers to stick with the familiar when it comes to finances. Your choices lean toward the traditional, valuing methods that have proven their reliability over time.",Adventurous - Impulsive - Conservative,,,Conservative,Convenience,,
Conservative,4.21-5.00,"Bạn rất nghiêm túc với việc tuân theo các quy tắc tài chính cũ và không thích thay đổi. Đối với bạn, sự ổn định và an toàn là chìa khóa của mọi thành công trong tài chính.","You hold firm to traditional financial principles. Change isn’t something you actively seek, as you trust in the timeless strategies that have always worked for you.",Adventurous - Impulsive - Convenience,,,Conservative,Caution,,
Convenience,1.00-1.80,"Bạn luôn cẩn trọng và có xu hướng dành thời gian để đảm bảo rằng mọi quyết định tài chính của mình được thực hiện một cách tối ưu nhất, ngay cả khi điều đó đòi hỏi sự phức tạp hơn.","You take your time, ensuring every financial decision is perfectly calculated, even if it means going the extra mile. You value precision over convenience in your approach.",Analytical - Adventurous - Caution,"",,Caution,Impulsive,,
Convenience,1.81-2.60,"Bạn không ngại đầu tư thời gian và công sức vào việc quản lý tài chính một cách kỹ lưỡng, nhưng đôi khi cũng mong muốn có những giải pháp nhanh chóng và tiện lợi hơn.","You don’t mind putting in the effort when needed, but you also appreciate financial processes that simplify your life. You balance efficiency with thoroughness.",Analytical - Adventurous - Conservative,,,Caution,Analytical,,
Convenience,2.61-3.40,"Bạn ưu tiên sự tiện lợi nhưng vẫn có đủ kiên nhẫn để đảm bảo rằng mọi thứ được thực hiện một cách đúng đắn. Bạn luôn tìm kiếm sự cân bằng giữa tốc độ và hiệu quả trong các quyết định tài chính của mình.","You prioritize ease without compromising on quality. You like things done efficiently, but you're also willing to take a little extra time to ensure everything is just right.",Analytical - Adventurous - Convenience,,,Caution,Adventurous,,
Convenience,3.41-4.20,"Sự tiện lợi là yếu tố chính trong các quyết định tài chính của bạn. Bạn thích những giải pháp nhanh chóng, dễ dàng và ít tốn công sức, nhưng vẫn đảm bảo hiệu quả tài chính tốt.","Convenience is key for you. You appreciate simplicity in your financial decisions and prefer streamlined processes that save time and reduce hassle, all while still getting the results you want.",Analytical - Adventurous - Impulsive,,,Caution,Convenience,,
Convenience,4.21-5.00,"Bạn đề cao sự tiện lợi trong mọi khía cạnh tài chính. Các phương án đơn giản, nhanh gọn và hiệu quả luôn là sự lựa chọn hàng đầu của bạn, giúp bạn tiết kiệm cả thời gian và công sức.","Efficiency and ease are your top priorities. You prefer financial options that offer quick, straightforward solutions, ensuring that your life runs smoothly with minimal effort.",Analytical - Caution - Adventurous,,,Caution,Conservative,,
Impulsive,1.00-1.80,"Bạn có sự cân nhắc thận trọng trong mọi quyết định tài chính và không để cảm xúc chi phối. Những quyết định của bạn luôn dựa trên sự cân bằng và ổn định.","You take a thoughtful approach to every financial move, keeping your emotions in check. You're steady, deliberate, and always have a plan in place before acting.",Analytical - Caution - Conservative,,,Analytical,Adventurous,,
Impulsive,1.81-2.60,"Bạn thường suy nghĩ kỹ trước khi chi tiêu, nhưng đôi khi vẫn cho phép mình thử những lựa chọn mới khi cảm thấy chúng thực sự hấp dẫn và có giá trị.","You usually stay grounded, but sometimes you let yourself indulge in a spontaneous decision when the opportunity feels right. It’s all about balance, and you know how to keep things in check.",Analytical - Caution - Convenience,,,Analytical,Convenience,,
Impulsive,2.61-3.40,"Bạn có xu hướng kết hợp giữa lý trí và cảm xúc khi đưa ra quyết định tài chính. Bạn biết cách kiểm soát nhưng cũng không ngại thưởng cho bản thân những trải nghiệm thú vị.","You like to follow your heart while also using your head. Your financial choices are a mix of well-considered decisions and those that simply feel good in the moment – and it works for you.",Analytical - Caution - Impulsive,,,Analytical,Conservative,,
Impulsive,3.41-4.20,"Bạn thường xuyên dựa vào cảm xúc khi chi tiêu, nhưng luôn biết cách cân nhắc để đảm bảo không vượt quá giới hạn của mình. Những quyết định của bạn thường dựa trên sự hứng thú và cảm xúc, nhưng vẫn giữ được kiểm soát.","You often rely on your instincts when making financial choices, trusting in the excitement of the moment. While you enjoy spontaneity, you still keep your decisions grounded in reason.",Analytical - Conservative - Adventurous,,,Analytical,Caution,,
Impulsive,4.21-5.00,"Bạn yêu thích những quyết định nhanh chóng và cảm giác thỏa mãn tức thì. Tuy nhiên, bạn vẫn luôn ý thức về giới hạn của mình và chỉ lựa chọn những điều thực sự mang lại niềm vui và giá trị cho cuộc sống.","You live for the thrill of acting on a whim, letting your instincts lead the way. You’re quick to seize exciting opportunities, knowing how to turn them into valuable experiences without going overboard.",Analytical - Conservative - Caution,,,Analytical,Impulsive,,
,,,,Analytical - Conservative - Convenience,,,,,,
,,,,Analytical - Conservative - Impulsive,,,,,,
,,,,Analytical - Convenience - Adventurous,,,,,,
,,,,Analytical - Convenience - Caution,,,,,,
,,,,Analytical - Convenience - Conservative,,,,,,
,,,,Analytical - Convenience - Impulsive,,,,,,
,,,,Analytical - Impulsive - Adventurous,,,,,,
,,,,Analytical - Impulsive - Caution,,,,,,
,,,,Analytical - Impulsive - Conservative,,,,,,
,,,,Analytical - Impulsive - Convenience,,,,,,
,,,,Caution - Adventurous - Analytical,,,,,,
,,,,Caution - Adventurous - Conservative,,,,,,
,,,,Caution - Adventurous - Convenience,,,,,,
,,,,Caution - Adventurous - Impulsive,,,,,,
,,,,Caution - Analytical - Adventurous,,,,,,
,,,,Caution - Analytical - Conservative,,,,,,
,,,,Caution - Analytical - Convenience,,,,,,
,,,,Caution - Analytical - Impulsive,,,,,,
,,,,Caution - Conservative - Adventurous,,,,,,
,,,,Caution - Conservative - Analytical,,,,,,
,,,,Caution - Conservative - Convenience,,,,,,
,,,,Caution - Conservative - Impulsive,,,,,,
,,,,Caution - Convenience - Adventurous,,,,,,
,,,,Caution - Convenience - Analytical,,,,,,
,,,,Caution - Convenience - Conservative,,,,,,
,,,,Caution - Convenience - Impulsive,,,,,,
,,,,Caution - Impulsive - Adventurous,,,,,,
,,,,Caution - Impulsive - Analytical,,,,,,
,,,,Caution - Impulsive - Conservative,,,,,,
,,,,Caution - Impulsive - Convenience,,,,,,
,,,,Conservative - Adventurous - Analytical,,,,,,
,,,,Conservative - Adventurous - Caution,,,,,,
,,,,Conservative - Adventurous - Convenience,,,,,,
,,,,Conservative - Adventurous - Impulsive,,,,,,
,,,,Conservative - Analytical - Adventurous,,,,,,
,,,,Conservative - Analytical - Caution,,,,,,
,,,,Conservative - Analytical - Convenience,,,,,,
,,,,Conservative - Analytical - Impulsive,,,,,,
,,,,Conservative - Caution - Adventurous,,,,,,
,,,,Conservative - Caution - Analytical,,,,,,
,,,,Conservative - Caution - Convenience,,,,,,
,,,,Conservative - Caution - Impulsive,,,,,,
,,,,Conservative - Convenience - Adventurous,,,,,,
,,,,Conservative - Convenience - Analytical,,,,,,
,,,,Conservative - Convenience - Caution,,,,,,
,,,,Conservative - Convenience - Impulsive,,,,,,
,,,,Conservative - Impulsive - Adventurous,,,,,,
,,,,Conservative - Impulsive - Analytical,,,,,,
,,,,Conservative - Impulsive - Caution,,,,,,
,,,,Conservative - Impulsive - Convenience,,,,,,
,,,,Convenience - Adventurous - Analytical,,,,,,
,,,,Convenience - Adventurous - Caution,,,,,,
,,,,Convenience - Adventurous - Conservative,,,,,,
,,,,Convenience - Adventurous - Impulsive,,,,,,
,,,,Convenience - Analytical - Adventurous,,,,,,
,,,,Convenience - Analytical - Caution,,,,,,
,,,,Convenience - Analytical - Conservative,,,,,,
,,,,Convenience - Analytical - Impulsive,,,,,,
,,,,Convenience - Caution - Adventurous,,,,,,
,,,,Convenience - Caution - Analytical,,,,,,
,,,,Convenience - Caution - Conservative,,,,,,
,,,,Convenience - Caution - Impulsive,,,,,,
,,,,Convenience - Conservative - Adventurous,,,,,,
,,,,Convenience - Conservative - Analytical,,,,,,
,,,,Convenience - Conservative - Caution,,,,,,
,,,,Convenience - Conservative - Impulsive,,,,,,
,,,,Convenience - Impulsive - Adventurous,,,,,,
,,,,Convenience - Impulsive - Analytical,,,,,,
,,,,Convenience - Impulsive - Caution,,,,,,
,,,,Convenience - Impulsive - Conservative,,,,,,
,,,,Impulsive - Adventurous - Analytical,,,,,,
,,,,Impulsive - Adventurous - Caution,,,,,,
,,,,Impulsive - Adventurous - Conservative,,,,,,
,,,,Impulsive - Adventurous - Convenience,,,,,,
,,,,Impulsive - Analytical - Adventurous,,,,,,
,,,,Impulsive - Analytical - Caution,,,,,,
,,,,Impulsive - Analytical - Conservative,,,,,,
,,,,Impulsive - Analytical - Convenience,,,,,,
,,,,Impulsive - Caution - Adventurous,,,,,,
,,,,Impulsive - Caution - Analytical,,,,,,
,,,,Impulsive - Caution - Conservative,,,,,,
,,,,Impulsive - Caution - Convenience,,,,,,
,,,,Impulsive - Conservative - Adventurous,,,,,,
,,,,Impulsive - Conservative - Analytical,,,,,,
,,,,Impulsive - Conservative - Caution,,,,,,
,,,,Impulsive - Conservative - Convenience,,,,,,
,,,,Impulsive - Convenience - Adventurous,,,,,,
,,,,Impulsive - Convenience - Analytical,,,,,,
,,,,Impulsive - Convenience - Caution,,,,,,
,,,,Impulsive - Convenience - Conservative,,,,,,
